,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.tempSuspendedSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.isETFSec,meta.isDelisted,meta.isin
32,BSLNIFTY,Nifty 50,18.2,18.2,17.82,18.09,0.22,1.23,36794,662292,,214.2,16.81,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-89.66167562007087,-2.5323275862068906,17.87,91.5546218487395,-7.614515169541947,https://static.nseindia.com/sparklines/today/BSLNIFTYEQN.jpg,-89.79,06-Jul-2021,https://static.nseindia.com/sparklines/365d/BSLNIFTY-EQ.jpg,06-Jun-2022,-3.72,https://static.nseindia.com/sparklines/30d/BSLNIFTY-EQ.jpg,BSLNIFTY,Aditya Birla Sun Life Nifty ETF - Growth,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF209KB19D1
33,ICICISENSX,SENSEX,591,593.65,590,593.45,7.01,1.20,5849,3467228.71,,700,543.95,24-JUL-14,DIVIDEND,3.298520452567458,-2.8468993517123935,586.44,15.221428571428566,-9.10010111223458,https://static.nseindia.com/sparklines/today/ICICISENSXEQN.jpg,2.08,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICISENSX-EQ.jpg,06-Jun-2022,-3.99,https://static.nseindia.com/sparklines/30d/ICICISENSX-EQ.jpg,ICICISENSX,ICICI Prudential S&P BSE Sensex ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF346A01034
34,MAFSETF,Nifty Financial Services Index,16.17,16.29,16.1,16.28,0.19,1.18,38477,623327.4,,21,14.01,-,-,Infinity,-0.9732360097323609,16.09,22.47619047619047,-16.20271234832264,https://static.nseindia.com/sparklines/today/MAFSETFEQN.jpg,-,-,-,06-Jun-2022,-2.13,https://static.nseindia.com/sparklines/30d/MAFSETF-EQ.jpg,MAFSETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Financial Services ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF769K01HI8
35,ICICINXT50,Nifty Next 50,39.94,39.94,39.02,39.39,0.45,1.16,94150,3701978,,50.97,32.8,15-NOV-18, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 1/- PER SHARE,-0.2532286654849365,0.5359877488514571,38.94,22.719246615656264,-20.09146341463416,https://static.nseindia.com/sparklines/today/ICICINXT50EQN.jpg,-1.39,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICINXT50-EQ.jpg,06-Jun-2022,-0.61,https://static.nseindia.com/sparklines/30d/ICICINXT50-EQ.jpg,ICICINXT50,ICICI Prudential Mutual Fund - ICICI Prudential Nifty Next 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KC1NS5
36,UTISENSETF,SENSEX,573.98,573.98,569.5,573,6.3,1.11,429,244937.55,,737.55,461.6,26-FEB-21, INTERIM DIVIDEND - RS 13.56 PER UNIT,3.273015644149659,-2.4631044989531428,566.7,22.310351840553178,-24.13344887348353,https://static.nseindia.com/sparklines/today/UTISENSETFEQN.jpg,2.14,06-Jul-2021,https://static.nseindia.com/sparklines/365d/UTISENSETF-EQ.jpg,06-Jun-2022,-3.54,https://static.nseindia.com/sparklines/30d/UTISENSETF-EQ.jpg,UTISENSETF,UTI S&P BSE Sensex ETF,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF789FB1X58
37,TECH,Nifty IT TRI Index,33.25,33.25,27.63,28.51,0.31,1.10,6338,182090.74,,43.75,26.4,-,-,Infinity,-5.124792013311145,28.2,34.834285714285706,-7.992424242424254,https://static.nseindia.com/sparklines/today/TECHEQN.jpg,-,-,-,06-Jun-2022,-6.16,https://static.nseindia.com/sparklines/30d/TECH-EQ.jpg,TECH,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF209KB11D8
38,BSLSENETFG,BSE SENSEX Index,52.7,52.7,51.05,52.22,0.56,1.08,2058,106974.84,,664.99,43.65,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1- PER SHARE,Infinity,-2.2097378277153554,51.66,92.14725033459149,-19.633447880870563,https://static.nseindia.com/sparklines/today/BSLSENETFGEQN.jpg,-,-,-,06-Jun-2022,-3.26,https://static.nseindia.com/sparklines/30d/BSLSENETFG-EQ.jpg,BSLSENETFG,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life SENSEX ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF209KB10E8
39,QNIFTY,Nifty 50,1686,1700,1685,1700,17.78,1.06,138,233731.98,,2268.99,1604,08-MAR-18, DIVIDEND - RS 80 PER UNIT (PURPOSE REVISED),3.3434650455927053,-2.522935779816514,1682.22,25.076796283809088,-5.985037406483791,https://static.nseindia.com/sparklines/today/QNIFTYEQN.jpg,2.26,06-Jul-2021,https://static.nseindia.com/sparklines/365d/QNIFTY-EQ.jpg,06-Jun-2022,-3.54,https://static.nseindia.com/sparklines/30d/QNIFTY-EQ.jpg,QNIFTY,Quantum Nifty 50 ETF,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF082J01028
40,ICICIM150,Nifty Midcap 150,104.52,106.2,104.52,105.78,1.09,1.04,16559,1752935.74,,132.7,96.75,-,-,1.7311021350259637,-0.592049619396669,104.69,20.28636021100225,-9.333333333333334,https://static.nseindia.com/sparklines/today/ICICIM150EQN.jpg,0.68,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICIM150-EQ.jpg,06-Jun-2022,-1.62,https://static.nseindia.com/sparklines/30d/ICICIM150-EQ.jpg,ICICIM150,ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Midcap 150 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KC1G82
41,DSPNEWETF,NIFTY 50 Equal Weight Index,180.09,185.46,180.09,184.08,1.88,1.03,1563,287201.25,,209.85,158.9,-,-,Infinity,-1.561497326203202,182.2,12.280200142959249,-15.84644430459409,https://static.nseindia.com/sparklines/today/DSPNEWETFEQN.jpg,-,-,-,06-Jun-2022,-2.57,https://static.nseindia.com/sparklines/30d/DSPNEWETF-EQ.jpg,DSPNEWETF,DSP  Mutual Fund - DSP Nifty 50 Equal Weight ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF740KA1QK2
